#timestamp tx ty tz qx qy qz qw
0.000000001 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
11.000000000 -0.021053376 -0.360824972 -0.063459076 0.009453194 0.051622879 -0.000422132 0.998621821
11.199999999 -0.011280360 -0.313133687 -0.088510700 0.013157682 0.057946648 0.000741957 0.998232722
11.349999999 0.000630451 -0.109885491 -0.106048346 0.016077606 0.058040164 0.004032742 0.998176634
15.900000000 -0.005726184 -0.534575403 -0.247667134 -0.018298512 0.063117057 -0.022223573 0.997590899
16.199999999 -0.081653312 -0.661068797 -0.329253703 -0.000373334 0.056609366 -0.009542860 0.998350739
16.649999998 -0.183857724 -0.486490577 -0.462993413 0.013314878 0.048866186 0.002403096 0.998713732
16.800000000 -0.202248454 -0.345869541 -0.507138908 0.010776891 0.049668461 0.000848340 0.998707235
16.949999999 -0.212749347 -0.209307596 -0.549006343 0.006696833 0.049898770 -0.000123569 0.998731852
17.149999998 -0.226515934 -0.064399399 -0.608330011 0.004354375 0.051061735 0.001940534 0.998684168
18.050000000 -0.140824214 -0.346072644 -0.858997822 0.014854761 0.046933260 0.004133695 0.998778999
18.350000000 -0.049989589 -0.277654558 -0.933588684 0.014921709 -0.014706474 -0.004767545 0.999769151
18.449999999 -0.011420665 -0.218504161 -0.955995500 0.016135499 -0.039395388 -0.005843850 0.999076366
18.600000000 0.054115329 -0.126952276 -0.996596158 0.018176321 -0.071786731 -0.009298043 0.997211039
18.750000000 0.131500795 -0.047458839 -1.042947054 0.015157099 -0.095451698 -0.009796989 0.995270431
18.949999999 0.220852733 -0.011636714 -1.097921371 0.052608207 -0.115393013 -0.032110956 0.991405964
19.449999999 0.327636600 -0.238630310 -1.190665483 0.006753016 -0.095034473 0.007377094 0.995423794
19.600000000 0.383373767 -0.274006754 -1.204761863 -0.015057276 -0.095623247 0.026777837 0.994943440
19.800000000 0.453024745 -0.283299297 -1.197268844 -0.026672764 -0.098152556 0.039271437 0.994038463
20.350000000 0.513864934 -0.280898899 -0.981096029 -0.024470117 -0.141244531 -0.005085403 0.989659190
20.500000000 0.497339338 -0.283243954 -0.904133141 -0.027677085 -0.177661106 -0.012045511 0.983628690
20.699999999 0.456881583 -0.253448814 -0.809793413 -0.027770370 -0.229017466 -0.021147689 0.972796261
20.899999999 0.393702447 -0.191926375 -0.737564445 -0.027103825 -0.272095174 -0.032395255 0.961342931
21.000000000 0.354291648 -0.161352426 -0.712908924 -0.027822083 -0.288323313 -0.038657527 0.956347883
21.250000000 0.238155648 -0.132605985 -0.692568421 -0.026479689 -0.318524331 -0.036152661 0.946854830
21.500000000 0.100371003 -0.175568447 -0.726946115 -0.016911188 -0.334526658 -0.018055039 0.942061543
21.649999999 0.013011448 -0.230206937 -0.756826162 -0.007809069 -0.341611534 -0.011425729 0.939739347
21.800000000 -0.070215821 -0.286479503 -0.785925031 0.007315747 -0.352234542 0.011665870 0.935810506
21.899999999 -0.122447252 -0.329491436 -0.796134830 0.010025249 -0.358318418 0.020485653 0.933320880
22.100000000 -0.212199852 -0.410273314 -0.788712740 0.005827507 -0.376152039 0.015858766 0.926403940
22.300000000 -0.289953202 -0.492924213 -0.747707129 -0.005099782 -0.396421582 -0.000781404 0.918054104
22.649999999 -0.412312508 -0.580856562 -0.633888781 -0.007946175 -0.433458835 -0.004395032 0.901127636
23.250000000 -0.604654014 -0.482178181 -0.383650661 -0.015417097 -0.445569009 -0.014413438 0.894998848
23.500000000 -0.681371272 -0.547953367 -0.285705209 0.003554367 -0.444450051 -0.032243267 0.895216107
23.699999999 -0.722783029 -0.656184852 -0.228240758 -0.001444780 -0.441967160 -0.051126819 0.895571887
23.949999999 -0.736319184 -0.837796390 -0.206851080 0.003670236 -0.444308460 -0.027190663 0.895453632
24.199999999 -0.701150179 -1.004287481 -0.198740199 0.037973870 -0.445812076 -0.021719065 0.894056976
24.699999999 -0.433847487 -1.145127535 -0.153002471 -0.002568207 -0.447909147 -0.020535748 0.893839538
25.300000000 0.062871046 -0.996084630 -0.110249475 -0.011849850 -0.452111989 -0.013933334 0.891773641
25.550000000 0.285510093 -0.838587403 -0.106042311 -0.020334825 -0.453546375 -0.003394228 0.890994251
25.750000000 0.437945008 -0.682248175 -0.099247977 -0.078868292 -0.452623874 0.003063031 0.888201594
27.550000000 -1.099559188 -1.339968443 -0.201196581 0.029195128 -0.459166080 -0.021804025 0.887602806
27.649999999 -1.261104345 -1.349186897 -0.190139860 0.057887997 -0.457894146 -0.027918831 0.886680603
27.750000000 -1.397018194 -1.346424103 -0.174056768 0.083818108 -0.456323445 -0.035583708 0.885142505
