#timestamp tx ty tz qx qy qz qw
1305031526.671472549 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
1305031526.707547188 0.002197227 -0.002439003 -0.006787010 0.012139189 0.011186905 0.002287024 0.999861121
1305031526.739477873 0.003501285 -0.001382821 -0.015324214 0.028385922 0.023308432 0.002077635 0.999323070
1305031526.771480799 0.008377440 -0.010704746 -0.024431251 0.043948930 0.034787059 0.001168210 0.998427272
1305031526.871446371 0.000292772 -0.005960783 -0.054505505 0.111280836 0.068577372 -0.010653264 0.991362810
1305031527.007595301 -0.031450488 0.016243359 -0.105697721 0.185240299 0.109007061 -0.021211941 0.976398230
1305031527.139472961 -0.045880798 0.029042739 -0.135613203 0.233673245 0.132468313 -0.024421165 0.962939560
1305031527.171540260 -0.053156864 0.038349744 -0.146974578 0.240818769 0.138151377 -0.023855917 0.960391283
1305031527.271501064 -0.064257100 0.068647645 -0.145212442 0.235428423 0.142683685 -0.019571491 0.961161733
1305031527.439476252 -0.056622926 0.077224910 -0.120945096 0.186870426 0.133696929 -0.000422648 0.973244309
1305031527.607558727 -0.056439277 0.088811100 -0.099457011 0.130517274 0.132795781 0.005223260 0.982498467
1305031527.639832973 -0.062952958 0.101012088 -0.092344552 0.119020917 0.132417291 0.003920733 0.984014392
1305031527.771460772 -0.066984974 0.085014641 -0.078120470 0.064458810 0.104967758 0.011390065 0.992319047
1305031527.839601040 -0.080835685 0.082385629 -0.071340881 0.049572445 0.090299100 0.014098382 0.994580269
1305031527.907477140 -0.100260533 0.086269110 -0.063836023 0.034988321 0.067108639 0.007170975 0.997106254
1305031527.939566135 -0.107946604 0.077638149 -0.063744381 0.029595293 0.052343678 -0.000342366 0.998190463
1305031528.039559603 -0.145712897 0.091617763 -0.052511279 0.040094431 0.003324392 -0.045530137 0.998152554
1305031528.139513016 -0.172412187 0.101527840 -0.058725595 0.058370739 -0.050445560 -0.094319135 0.992548227
1305031528.171522617 -0.177510962 0.103531927 -0.060433824 0.062071417 -0.065630697 -0.110870406 0.989720941
1305031528.239493370 -0.200243726 0.106668264 -0.067133307 0.077644840 -0.082720816 -0.143383190 0.983142793
1305031528.275450230 -0.215757698 0.112685621 -0.074527882 0.084719084 -0.093982965 -0.155440032 0.979708254
1305031528.307664871 -0.233674258 0.117644228 -0.076534815 0.093609296 -0.113994814 -0.169031709 0.974510550
1305031528.339592695 -0.239709377 0.121594593 -0.084478647 0.102240570 -0.140006021 -0.178479567 0.968550563
1305031528.375435114 -0.250257552 0.123023860 -0.090952314 0.106485128 -0.164190978 -0.184658974 0.963121653
1305031528.407459259 -0.258407205 0.126142263 -0.098067835 0.111183099 -0.193352476 -0.189584181 0.956196129
1305031528.439469337 -0.264687657 0.128018767 -0.108136781 0.114224441 -0.223953724 -0.195254624 0.947983742
1305031528.475341558 -0.274729013 0.133124560 -0.108003028 0.115932338 -0.253233641 -0.200145751 0.939347744
1305031528.539626122 -0.298239470 0.145707563 -0.130039647 0.115753360 -0.309757769 -0.207966015 0.920544088
1305031528.575448513 -0.291296929 0.152959108 -0.155190066 0.108937122 -0.338432908 -0.212587729 0.910166144
1305031528.639486551 -0.314252704 0.165105700 -0.157554448 0.099994086 -0.381367266 -0.223875776 0.891313553
1305031528.739609718 -0.314344525 0.191144958 -0.155380175 0.076376691 -0.416153342 -0.244765222 0.872394979
1305031528.907518864 -0.331716537 0.265236825 -0.181213543 0.026833272 -0.421357840 -0.279831409 0.862224996
1305031529.275389194 -0.480089933 0.444507718 -0.290866733 -0.133063257 -0.279665262 -0.199993417 0.929561257
1305031529.375398636 -0.547944486 0.470916003 -0.323161125 -0.177043453 -0.231855884 -0.200463563 0.935260832
1305031529.539489269 -0.641600370 0.513508201 -0.368470311 -0.158713490 -0.210655227 -0.213152319 0.940744698
1305031529.707556963 -0.724383771 0.544196129 -0.394604504 -0.162058413 -0.174338579 -0.184981793 0.953480422
1305031529.807516336 -0.769259274 0.530049086 -0.389770389 -0.178325102 -0.142075032 -0.171133533 0.958503127
1305031529.907488823 -0.829220414 0.545761228 -0.393830955 -0.159578905 -0.107445359 -0.140643388 0.971189737
1305031530.007408619 -0.891898513 0.546664894 -0.399989992 -0.156510979 -0.089791402 -0.106445991 0.977809310
1305031530.075443268 -0.935926378 0.542012393 -0.409412324 -0.160686329 -0.081411988 -0.080515996 0.980341375
1305031530.139496565 -0.979134381 0.523371816 -0.422234535 -0.162945077 -0.076219223 -0.057327509 0.982014835
1305031530.207486153 -1.012266755 0.500691891 -0.439278901 -0.159647793 -0.076151758 -0.047656912 0.983078003
1305031530.275406599 -1.051010609 0.486994058 -0.467028826 -0.140858456 -0.067325540 -0.051954556 0.986370564
1305031530.375386000 -1.102757692 0.465697646 -0.505575418 -0.129090264 -0.047450148 -0.054278146 0.989008665
1305031530.507460833 -1.163989305 0.419287890 -0.552852154 -0.116788022 -0.021897700 -0.051944420 0.991555750
1305031530.539531708 -1.172850609 0.397750318 -0.565200746 -0.112416416 -0.012919265 -0.051924117 0.992219508
1305031530.607559204 -1.197945833 0.377559781 -0.601793885 -0.077200204 0.019010039 -0.054870073 0.995323062
1305031530.675400972 -1.227507710 0.358567089 -0.647815347 -0.045504574 0.066951193 -0.053377237 0.995287776
