#timestamp tx ty tz qx qy qz qw
1341839114.161678314 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
1341839115.737551689 -0.169177353 0.054229945 -0.082168199 -0.020213971 0.033728968 0.013298512 0.999138117
1341839115.769579411 -0.182722256 0.066816732 -0.091640890 -0.017288394 0.036000136 0.012757116 0.999120831
1341839116.137629271 -0.270134062 0.062093236 -0.090848953 -0.018537551 0.059514835 0.031983264 0.997542739
1341839117.109633446 -0.465105832 0.063277647 -0.122585699 -0.022741901 0.096626505 0.034340099 0.994468212
1341839117.645886898 -0.641509235 0.085884653 -0.176344186 -0.029159704 0.120910928 0.049677838 0.990990579
1341839118.785565615 -0.915603876 0.097813435 -0.162414640 -0.033046156 0.139691740 0.052483536 0.988250792
1341839119.993678570 -1.162950635 0.080056481 -0.120760262 -0.045934733 0.168665051 0.066998690 0.982320368
1341839121.133691311 -1.460286498 0.065808646 -0.082361363 -0.039593183 0.207202449 0.095530421 0.972817302
1341839121.501558304 -1.516425610 0.028664073 -0.047523834 -0.037296228 0.199754804 0.093209423 0.974689186
1341839122.273692131 -1.660108566 -0.005200650 0.042529613 -0.015735988 0.209038690 0.080258109 0.974481344
1341839123.949666977 -1.927163363 -0.051991880 0.191317946 -0.017287480 0.252861977 0.085886441 0.963527620
1341839124.549607277 -2.086864471 -0.078796595 0.230201796 -0.023939459 0.253356874 0.091041066 0.962781787
1341839126.561487913 -2.309351444 -0.151538879 0.457442760 -0.029436264 0.309410244 0.093637034 0.945849359
1341839127.029597044 -2.329411983 -0.200933456 0.505591154 -0.026518539 0.336341828 0.098845385 0.936162651
1341839127.465725422 -2.376756668 -0.212350518 0.543840289 -0.013419089 0.369189739 0.096721463 0.924209833
1341839128.105484962 -2.454090595 -0.233714432 0.642782688 -0.006111695 0.395541608 0.109470464 0.911880374
1341839128.573514700 -2.466423988 -0.271813452 0.696198642 -0.013809448 0.413558781 0.124623738 0.901802301
1341839128.873613358 -2.492099047 -0.276170403 0.765043318 -0.009026319 0.428423971 0.146335334 0.891603827
1341839129.009678602 -2.508490801 -0.266268164 0.787768364 -0.009070495 0.428276658 0.144883245 0.891911328
1341839129.577540636 -2.522496223 -0.315046310 0.912347496 -0.017020864 0.448351443 0.167976856 0.877767146
1341839130.317659378 -2.537324429 -0.371986806 1.036578894 -0.010878681 0.475238472 0.174328014 0.862345576
1341839131.289544106 -2.641520023 -0.444506615 1.210429788 -0.011796637 0.496025980 0.194351315 0.846195459
1341839132.057881355 -2.685194016 -0.509289026 1.347539544 -0.009197284 0.506806433 0.196834609 0.839237094
1341839132.593700409 -2.723183155 -0.537702262 1.436877012 -0.006031204 0.527830124 0.220373243 0.820240676
1341839133.501570702 -2.799259663 -0.575886607 1.513901472 -0.009877020 0.522439599 0.225541115 0.822247267
1341839134.145583391 -2.876606226 -0.600015044 1.632105827 -0.016651472 0.525864542 0.232304990 0.818060875
1341839134.473569870 -2.923531055 -0.629065216 1.725152016 -0.001194391 0.519884050 0.230830342 0.822457612
1341839134.673530340 -2.929929256 -0.690441072 1.780778050 -0.004902177 0.521646976 0.228601620 0.821950018
1341839135.073503971 -2.969842434 -0.718545020 1.833788157 0.007434853 0.536997318 0.223549843 0.813390493
1341839135.309841871 -2.959722519 -0.752945065 1.873616219 -0.002834227 0.546577632 0.223911449 0.806912959
1341839135.477530479 -2.982217789 -0.713787138 1.889703631 0.013923953 0.555284917 0.224297404 0.800721765
1341839135.677566528 -2.948616505 -0.765002847 1.924857259 0.001060235 0.571008027 0.228396192 0.788532794
1341839135.981913090 -2.957054138 -0.771408379 1.960026145 0.012824356 0.585606873 0.229274973 0.777388692
1341839137.053571701 -2.985366106 -0.837402999 2.108689547 0.019159313 0.592307985 0.234297886 0.770654738
1341839137.896603346 -3.087594032 -0.889348149 2.251634836 0.012642076 0.630141795 0.251187176 0.734619975
1341839138.364517450 -3.116420984 -0.917356789 2.351843834 0.012020676 0.626702726 0.253486872 0.736779213
1341839139.436966896 -3.063138247 -0.946564853 2.482873440 -0.014715066 0.671238482 0.261092693 0.693579793
1341839140.437622309 -3.051662445 -0.984037757 2.611800909 -0.031350743 0.694445372 0.277094007 0.663311243
1341839141.645705700 -3.085761786 -1.089246273 2.876004219 -0.027516205 0.723582029 0.284577042 0.628241837
1341839142.281484127 -3.042291403 -1.132309675 2.971537113 -0.039574828 0.737584889 0.276408315 0.614817798
1341839142.681489944 -3.015622377 -1.159330845 3.034675121 -0.041846927 0.761609495 0.276609123 0.584540188
1341839143.590154409 -2.987760067 -1.205169916 3.163664579 -0.055782970 0.777173042 0.278720915 0.561431229
1341839143.721562624 -2.995876312 -1.213163257 3.188561201 -0.062685035 0.783290505 0.280375630 0.551285863
1341839144.525995731 -2.936765432 -1.236185670 3.293409348 -0.056830518 0.794509709 0.290299028 0.530331135
1341839145.029623270 -2.914721966 -1.255866885 3.302774906 -0.055892609 0.794127941 0.285791516 0.533441603
