#timestamp tx ty tz qx qy qz qw
1729604354.747151613 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
1729604363.222656965 0.011189121 -0.032749850 0.011797287 0.001031056 0.013095064 -0.018445214 0.999743581
1729604363.256084919 0.012773517 -0.034354977 0.012949659 -0.002147954 0.013020132 -0.018337017 0.999744773
1729604363.456468105 0.014898940 -0.049762592 0.020878889 -0.013126066 0.017191246 -0.026254423 0.999421299
1729604363.723134756 0.017779969 -0.098115280 0.028183086 -0.015256076 0.014731488 -0.039201327 0.999006271
1729604363.923126221 0.028166672 -0.136316180 0.026766434 -0.008734097 0.005483608 -0.034093294 0.999365449
1729604364.023119450 0.032468472 -0.153445706 0.026745854 -0.005576057 0.003719128 -0.034371018 0.999386668
1729604364.123110771 0.036622923 -0.172735214 0.024802713 -0.008572764 -0.007118277 -0.035227064 0.999317229
1729604364.256429195 0.046201695 -0.213285059 0.025141072 -0.017686330 -0.016810510 -0.031805947 0.999196172
1729604364.356416225 0.054679975 -0.240264833 0.025299489 -0.023740552 -0.023875546 -0.031567257 0.998934388
1729604364.523083210 0.069743656 -0.287631184 0.033514187 -0.041027959 -0.031345278 -0.029176146 0.998239934
1729604364.656417370 0.085223325 -0.327239037 0.042977486 -0.048126508 -0.034347679 -0.033994921 0.997671545
1729604364.756416321 0.096009143 -0.357094765 0.049793236 -0.045869648 -0.034724914 -0.033709817 0.997774482
1729604364.923076630 0.111249909 -0.393659294 0.056075595 -0.039095331 -0.047966950 -0.029662125 0.997642696
1729604365.356370449 0.149141297 -0.470159262 0.030394362 -0.031948857 -0.095798932 -0.019708397 0.994692624
1729604365.423035383 0.158790380 -0.484498292 0.013502195 -0.031936958 -0.115895025 -0.016705716 0.992607355
1729604365.556375504 0.170301586 -0.503432274 0.003021609 -0.024891755 -0.139401555 -0.016381517 0.989787519
1729604365.623044491 0.177246228 -0.512845099 -0.006978231 -0.019111119 -0.150713325 -0.015942698 0.988264203
1729604365.689712524 0.187854454 -0.520707607 -0.013334311 -0.010633213 -0.160164014 -0.017150003 0.986884177
1729604365.756379843 0.199401885 -0.530009985 -0.021301627 0.000038520 -0.160996407 -0.022540016 0.986697555
1729604365.856379509 0.203805402 -0.530085862 -0.028483070 0.012166084 -0.158192620 -0.032673519 0.986792564
1729604366.023041487 0.228247777 -0.533751726 -0.045345113 0.010988886 -0.158310056 -0.041934460 0.986437380
1729604366.456351995 0.271851212 -0.539660037 -0.058847323 -0.016028859 -0.140101433 -0.055995513 0.988422573
1729604366.623024225 0.298012882 -0.550191581 -0.075717613 -0.012671634 -0.121986754 -0.055998325 0.990869761
1729604366.689692020 0.316986322 -0.556362748 -0.089393422 -0.013948625 -0.115500525 -0.056031633 0.991627753
1729604366.956353903 0.346098423 -0.558789611 -0.123971768 -0.019674484 -0.083587557 -0.061947893 0.994378507
1729604367.356323481 0.402212828 -0.570679605 -0.199485913 -0.014520111 -0.068219714 -0.051633056 0.996227503
1729604367.756321430 0.442057163 -0.574036896 -0.249358714 -0.009122540 -0.053952351 -0.053061526 0.997090995
1729604368.022973537 0.452868611 -0.580692410 -0.266303509 -0.009392211 -0.040368542 -0.052382603 0.997766614
1729604368.589605570 0.470102429 -0.592523634 -0.272674114 -0.002159375 -0.043066453 -0.061762240 0.997159004
1729604368.856268644 0.491475880 -0.613589287 -0.259806335 0.013319618 -0.032339197 -0.049943909 0.998139501
1729604369.256239176 0.526654482 -0.640748680 -0.222129419 0.033491965 -0.033373460 -0.027398948 0.998505831
1729604369.689567566 0.589909971 -0.671757936 -0.134327680 0.040810995 -0.043048669 -0.018412216 0.998069286
1729604369.822900534 0.597201109 -0.691824734 -0.093868099 0.046026114 -0.048606850 -0.020796968 0.997540236
1729604369.956230402 0.604217589 -0.691862702 -0.051807471 0.047200482 -0.074303783 -0.019515244 0.995926857
1729604370.122888565 0.628943741 -0.681131542 -0.000450274 0.057453979 -0.092976280 -0.020243967 0.993803144
1729604370.256211519 0.654046237 -0.685422599 0.031621248 0.053884745 -0.106348358 -0.031333521 0.992373288
1729604370.422909021 0.677046478 -0.672411025 0.054184515 0.041949417 -0.103035703 -0.043095641 0.992857814
1729604370.556421518 0.687665343 -0.653934479 0.060444411 0.022194281 -0.102580063 -0.046477340 0.993390501
1729604370.689940691 0.721428335 -0.622657895 0.056789167 0.010419301 -0.097016580 -0.054464247 0.993736804
1729604370.823465586 0.718870640 -0.653500080 0.071739033 0.001002462 -0.084939852 -0.051937755 0.995030999
1729604371.591058731 0.809330463 -0.671714962 0.166645274 -0.031519599 -0.076351613 -0.033037767 0.996034861
1729604371.757763147 0.833734393 -0.684789121 0.208131701 -0.030506823 -0.057039086 -0.039864615 0.997109175
1729604371.957803965 0.869678736 -0.707691371 0.264367104 -0.033411685 -0.051836174 -0.036604181 0.997425139
1729604372.191178799 0.904091954 -0.715585291 0.321691424 -0.029074552 -0.048807532 -0.046096679 0.997320235
1729604372.491591454 0.928533852 -0.720018208 0.365164608 -0.026897689 -0.056171224 -0.049924072 0.996809363
1729604373.094058037 0.938243806 -0.711614966 0.417466730 -0.047514550 -0.045531642 -0.050369184 0.996560156
1729604373.728820562 0.984360993 -0.702448845 0.518010378 -0.058260765 -0.049206726 -0.033872277 0.996512473
1729604373.895526409 0.997745752 -0.733865023 0.573795021 -0.056827601 -0.066103876 -0.031626310 0.995691061
1729604374.095569134 1.023356557 -0.747684658 0.648965776 -0.047680996 -0.104287855 -0.042410865 0.992497861
1729604374.295606852 1.054985285 -0.748047769 0.714633942 -0.045093846 -0.131972536 -0.051080849 0.988908768
1729604374.495875359 1.083430409 -0.732900798 0.775217295 -0.037747826 -0.134608433 -0.057643823 0.988500297
1729604374.696385860 1.095659375 -0.748683691 0.829683661 -0.039631750 -0.131576553 -0.049214788 0.989290059
1729604374.896908998 1.094552636 -0.750839353 0.886982143 -0.035460848 -0.135586500 -0.049133148 0.988910913
1729604375.097444296 1.075634718 -0.765186965 0.944431603 -0.025918279 -0.147023305 -0.048587490 0.987598956
1729604375.364844322 1.058993340 -0.738854527 1.003896713 -0.021284619 -0.163117066 -0.055407245 0.984819710
1729604375.598276854 1.057475209 -0.746552050 1.058870673 -0.029736513 -0.171777174 -0.044484377 0.983681619
1729604375.831610203 1.074383259 -0.741639137 1.127580404 -0.024764014 -0.197021276 -0.044528365 0.979074359
1729604376.064933777 1.103406549 -0.729964614 1.192956805 -0.020578532 -0.246988311 -0.064781770 0.966631591
1729604376.298248053 1.130934119 -0.725680768 1.247951388 -0.019918758 -0.290124565 -0.079447500 0.953477383
1729604376.531810045 1.147577643 -0.713474870 1.295835972 -0.024502458 -0.317819476 -0.083600223 0.944140553
1729604376.765641451 1.132745266 -0.722418308 1.326772332 -0.020012904 -0.346433640 -0.088251978 0.933699548
1729604376.999484301 1.105157614 -0.717031658 1.335189223 -0.021154229 -0.384776831 -0.095461547 0.917816103
1729604377.266748428 1.064711928 -0.706155658 1.329216361 -0.018571328 -0.420583069 -0.103167690 0.901177824
1729604377.500453472 1.035975695 -0.701182485 1.311809063 -0.019725814 -0.445316225 -0.091802187 0.890436232
1729604377.733750343 1.013677835 -0.694882512 1.305064559 -0.033903193 -0.453496844 -0.079638846 0.887045026
1729604378.100334883 1.005570173 -0.684375465 1.302564621 -0.052281879 -0.455210835 -0.077887267 0.885428369
1729604378.767292023 1.012628198 -0.692487299 1.303049088 -0.069175810 -0.443206787 -0.118943624 0.885796189
1729604379.101045132 1.026870608 -0.683670461 1.302306294 -0.082150064 -0.446278483 -0.129521251 0.881652474
1729604379.401449203 1.042017817 -0.679952621 1.310369611 -0.085006796 -0.443563581 -0.134352222 0.882028759
1729604379.768178701 1.076985836 -0.665418923 1.317173481 -0.086908557 -0.425891221 -0.135140643 0.890393496
1729604380.001512527 1.098910928 -0.658330560 1.326553226 -0.089134723 -0.410088569 -0.133530572 0.897803962
1729604380.534831762 1.140501022 -0.676888824 1.333062291 -0.078506514 -0.366043359 -0.121280596 0.919314981
1729604381.068183184 1.182275891 -0.667791009 1.351199627 -0.091241345 -0.356067836 -0.103767715 0.924187720
1729604381.434835196 1.208653927 -0.671223760 1.370477200 -0.097914487 -0.333586246 -0.090519845 0.933241189
1729604382.134870052 1.163408041 -0.668122053 1.440132499 -0.115509093 -0.353481948 -0.100090109 0.922870576
1729604382.434861422 1.089253783 -0.672622323 1.490793109 -0.116159804 -0.382069826 -0.100600101 0.911267877
1729604382.734882832 1.017130852 -0.679322004 1.530519843 -0.102627695 -0.405734837 -0.100295141 0.902655959
1729604383.101555824 0.960517049 -0.681720138 1.558791637 -0.101659052 -0.436693639 -0.095330738 0.888749778
1729604383.434876204 0.924153566 -0.682638228 1.604670048 -0.100951768 -0.471761107 -0.094772957 0.870786071
1729604383.601555109 0.911802530 -0.685838461 1.633244157 -0.090681978 -0.495195419 -0.105139069 0.857615352
1729604383.968232632 0.884603739 -0.705075264 1.702125669 -0.069990985 -0.536555409 -0.121993817 0.832061946
1729604384.134896755 0.871242523 -0.711176515 1.736965656 -0.059661932 -0.562619209 -0.126696333 0.814768732
1729604384.334887505 0.868324637 -0.697368979 1.754354954 -0.053285990 -0.596206665 -0.130340815 0.790385664
1729604385.403990269 0.653105736 -0.671009541 1.795477867 -0.059161041 -0.664028525 -0.137431026 0.732583642
1729604385.737360239 0.573839307 -0.672695696 1.802968860 -0.051696163 -0.658173978 -0.106880777 0.743445337
1729604386.070614100 0.525833368 -0.664025187 1.819818258 -0.068318911 -0.658115566 -0.101791590 0.742869377
