#timestamp tx ty tz qx qy qz qw
0.250000000 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
10.949999999 -0.024311880 -0.336126894 -0.054931391 0.009443690 0.051005732 -0.001409103 0.998652756
11.250000000 -0.009219865 -0.260614306 -0.091847949 0.014766743 0.057709403 0.001397194 0.998223245
11.400000000 0.004672782 -0.010765474 -0.109739147 0.015900083 0.058718883 0.004496142 0.998137832
15.849999999 -0.006798382 -0.492851138 -0.241838247 -0.021667613 0.062102791 -0.024229476 0.997540295
16.050000000 -0.047024228 -0.623273075 -0.287094891 -0.009353155 0.061418384 -0.014334987 0.997965395
16.300000000 -0.110884055 -0.661472142 -0.359839886 0.004440380 0.053485628 -0.002849655 0.998554707
16.699999999 -0.197939679 -0.439022392 -0.477198809 0.009927978 0.050756987 0.003129578 0.998656809
16.850000000 -0.212643981 -0.297209501 -0.522295475 0.007794095 0.050260819 -0.000006428 0.998705745
17.149999998 -0.233761162 -0.062772058 -0.610922277 0.004469987 0.051719047 0.001594683 0.998650372
18.250000000 -0.090150371 -0.326040864 -0.910724878 0.014130469 0.010454839 -0.001834561 0.999843836
18.449999999 -0.016229726 -0.218251690 -0.958202779 0.016069934 -0.038967196 -0.006040107 0.999092996
18.649999999 0.073118411 -0.096715368 -1.013469815 0.017510319 -0.080156468 -0.009710396 0.996581197
18.800000000 0.155315325 -0.024388961 -1.057928443 0.013671551 -0.100711167 -0.009334843 0.994777977
18.949999999 0.215734065 -0.010861467 -1.099430561 0.052516215 -0.114943013 -0.032259271 0.991458297
19.300000000 0.269377470 -0.181772560 -1.165622354 0.017492222 -0.098034456 0.002005924 0.995027244
19.500000000 0.344031215 -0.251383752 -1.197725892 0.000366255 -0.095401257 0.013300231 0.995350003
19.699999999 0.416364014 -0.284072608 -1.208925962 -0.017924894 -0.096083149 0.039670747 0.994420946
20.199999999 0.513388395 -0.280578554 -1.059376955 -0.022827193 -0.114527144 0.007990157 0.993125677
20.500000000 0.494680136 -0.281138361 -0.906714022 -0.027485784 -0.177382484 -0.011858163 0.983686626
20.750000000 0.440263987 -0.237869173 -0.793562949 -0.027300801 -0.240573436 -0.024682077 0.969932973
20.850000000 0.407070488 -0.207897812 -0.756478488 -0.028322268 -0.261890143 -0.029356439 0.964235246
21.000000000 0.352123678 -0.160938799 -0.715060353 -0.027820120 -0.288112223 -0.038679358 0.956410646
21.149999999 0.285296947 -0.136713505 -0.694358051 -0.028950464 -0.308235437 -0.039352592 0.950054824
21.500000000 0.096149646 -0.174259916 -0.724130392 -0.016953785 -0.334370852 -0.017920842 0.942118645
21.649999999 0.007943295 -0.229114488 -0.757449150 -0.007830743 -0.341147572 -0.011511787 0.939906657
21.699999999 -0.021970421 -0.248938516 -0.766872466 0.000007736 -0.345346510 -0.004298897 0.938465416
21.850000000 -0.105507940 -0.309588969 -0.793291450 0.008716235 -0.354871392 0.016841343 0.934722781
21.949999999 -0.156202689 -0.351187438 -0.800015748 0.011025307 -0.362367749 0.023795931 0.931666195
22.149999999 -0.243000001 -0.434794188 -0.785937369 0.002099058 -0.380289882 0.010392342 0.924806595
22.300000000 -0.299767911 -0.497392952 -0.752346158 -0.005810706 -0.395076394 -0.001441069 0.918628752
22.600000000 -0.404004753 -0.584403157 -0.654036939 -0.010012541 -0.428181589 -0.006566416 0.903613389
23.250000000 -0.603001833 -0.487138152 -0.388565481 -0.016377488 -0.444887072 -0.014877405 0.895313323
23.500000000 -0.679690838 -0.555123687 -0.288803458 0.002019563 -0.443962544 -0.032716896 0.895445585
23.750000000 -0.722972989 -0.701178968 -0.223258346 -0.003848716 -0.442351699 -0.051582046 0.895348787
24.050000000 -0.727282286 -0.930663049 -0.207587749 0.016543306 -0.445336819 -0.023507724 0.894901574
24.350000000 -0.647691548 -1.097050786 -0.183271706 0.030437095 -0.446705341 -0.020885834 0.893919289
24.800000000 -0.364781857 -1.180859447 -0.140542969 0.000983356 -0.448879719 -0.029930130 0.893090308
25.300000000 0.059167907 -1.019814730 -0.099844925 -0.014842705 -0.453156143 -0.016016649 0.891163647
25.449999999 0.198661983 -0.924744248 -0.107346036 -0.017676579 -0.453873217 -0.008203386 0.890853226
25.550000000 0.285106778 -0.856657386 -0.099626005 -0.022957850 -0.454470962 -0.004557292 0.890454054
25.699999999 0.407225132 -0.734650254 -0.098210350 -0.062953010 -0.453726202 0.000907512 0.888914347
25.949999999 0.510342717 -0.557815731 -0.091779932 -0.105844319 -0.455207646 -0.007694868 0.884038389
27.449999999 -0.923183084 -1.341992497 -0.210590065 -0.011348728 -0.459529072 -0.017588206 0.887916088
27.600000000 -1.180424213 -1.371096969 -0.200207174 0.039894152 -0.457994163 -0.029243950 0.887577951
27.699999999 -1.332639456 -1.377118230 -0.188887715 0.065840453 -0.456355780 -0.033661030 0.886719465
27.800000000 -1.460448861 -1.362115979 -0.163536072 0.089788169 -0.455496132 -0.044426445 0.884583294
28.000000000 -1.602916837 -1.273170829 -0.130237937 0.120760307 -0.452263981 -0.061469637 0.881530344
28.449999999 -1.478007913 -0.945464790 -0.057483882 -0.060814783 -0.454984963 -0.031989869 0.887844026
30.649999999 -0.461059064 -1.225183010 -0.608825624 -0.157172680 -0.460209250 0.027707750 0.873347878
31.300000000 -1.209806919 -0.735204041 -0.752847552 0.053223260 -0.456983835 -0.025568701 0.887512982
31.649999999 -1.406400442 -0.333728075 -0.746019781 0.087185755 -0.454897523 -0.024313943 0.885932148
32.000000000 -1.252968192 -0.140381783 -0.673857033 0.019183107 -0.461926609 -0.000344761 0.886710644
35.649999999 0.263677746 -1.093355060 -0.329203784 -0.179241180 -0.477647692 0.047408894 0.858765185
38.899999999 -1.905527115 -0.797638774 -0.211564541 0.073159739 -0.479820222 -0.024854362 0.873957992
38.999999999 -2.163998365 -0.716790855 -0.181860447 0.118946247 -0.473480523 -0.038013604 0.871907651
39.099999998 -2.384655952 -0.647868872 -0.142379642 0.148867354 -0.468063563 -0.050476715 0.869601727
39.199999998 -2.551251173 -0.588363945 -0.103477597 0.164125606 -0.462284893 -0.065516144 0.868943751
39.399999999 -2.696958780 -0.501460373 -0.021046996 0.116129912 -0.458626688 -0.067926645 0.878385663
39.599999998 -2.677594423 -0.447368026 0.052693903 -0.001274936 -0.462720454 -0.046975520 0.885257840
41.249999999 -0.061065093 -0.584607661 -0.374401838 -0.138961524 -0.464096576 0.031271249 0.874257565
41.599999998 0.307630688 -0.573533237 -0.471093476 -0.198242217 -0.459679097 0.061906211 0.863459766
43.649999999 -1.092758775 -0.337902904 -0.589709640 -0.108203426 -0.446134627 0.026326539 0.888010621
43.799999999 -0.949259698 -0.362408042 -0.652561903 -0.171095401 -0.444715261 0.049955364 0.877758026
43.999999999 -0.940172851 -0.400840640 -0.723418772 -0.212012291 -0.443324447 0.066964857 0.868348956
