#timestamp tx ty tz qx qy qz qw
97.932354000 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
98.332350000 0.002853960 -0.040578563 -0.007158007 0.029791730 -0.005729896 -0.006168582 0.999520659
98.365683000 0.001177963 -0.046255402 -0.006329936 0.039298795 0.000808689 -0.010242230 0.999174714
98.465682000 0.007810710 -0.062137730 -0.009903655 0.052176885 0.010287352 -0.012043692 0.998512268
98.532347999 0.011599903 -0.068033583 -0.015992634 0.060498804 0.016890785 -0.012158181 0.997951329
98.599013999 0.011016130 -0.077155955 -0.017768545 0.068634346 0.023441253 -0.008339215 0.997331619
98.665679999 0.008256519 -0.076076910 -0.020029342 0.075894713 0.031936366 -0.007139789 0.996578693
98.732346000 0.006015398 -0.085283071 -0.018586894 0.081840217 0.042633526 -0.004390966 0.995723486
98.799012000 -0.007627130 -0.085010760 -0.026503664 0.092283040 0.057650089 -0.002724556 0.994058788
98.865678000 -0.018146744 -0.087401643 -0.026730979 0.099151701 0.073856480 0.000175597 0.992327631
98.999009999 -0.019006424 -0.101473339 -0.031105150 0.107308559 0.099990718 0.006661483 0.989162445
99.132341999 -0.051784676 -0.105985433 -0.032151319 0.109901942 0.131096423 0.011323855 0.985193908
99.199008000 -0.073262997 -0.104450874 -0.027817996 0.109281808 0.150986820 0.016548820 0.982337296
99.232341000 -0.060653083 -0.102307707 -0.025704997 0.110631593 0.159740403 0.019209923 0.980752110
99.299007000 -0.096248344 -0.114528514 -0.027541941 0.112509817 0.188149795 0.028127199 0.975269258
99.332340000 -0.093739353 -0.100498967 -0.023882989 0.115238935 0.199681371 0.029928492 0.972600460
99.532337999 -0.073010705 -0.142805681 -0.030382881 0.114458866 0.252001733 0.049180459 0.959674716
99.865667999 -0.169542223 -0.177157342 -0.027003502 0.130594656 0.326930493 0.066230781 0.933635414
99.998999999 -0.199623153 -0.154421017 -0.001063058 0.132786646 0.363140404 0.071875729 0.919418693
100.032332999 -0.200015813 -0.162337318 -0.002193144 0.129431352 0.371439755 0.075223073 0.916308641
100.098999000 -0.201829806 -0.157093212 -0.000031266 0.126283795 0.390504360 0.080509543 0.908337533
100.132332000 -0.201426253 -0.166215554 0.001972500 0.123075522 0.401353568 0.084762126 0.903649926
100.165665000 -0.214887515 -0.151268512 0.022495247 0.124558769 0.415704787 0.087237954 0.896696270
100.198998000 -0.200385809 -0.170332506 0.009344175 0.116478048 0.423248351 0.092805699 0.893689454
100.298996999 -0.177426472 -0.153787658 -0.005822476 0.110996537 0.446450174 0.102808848 0.881925344
100.365662999 -0.151362702 -0.151205465 -0.046694621 0.104143918 0.453967929 0.109141350 0.878154516
100.565661000 -0.118970297 -0.139860824 -0.072151832 0.089906439 0.486212701 0.127013192 0.859873056
100.698993000 -0.096786559 -0.100167289 -0.093304239 0.084828615 0.501451194 0.136009276 0.850207210
100.865657999 -0.079154015 -0.079193220 -0.104442343 0.068284921 0.525711119 0.149825677 0.834576070
100.898990999 -0.072849430 -0.064900443 -0.108611733 0.066203728 0.529558241 0.151033357 0.832090199
100.932323999 -0.068697900 -0.054085787 -0.110837191 0.062820852 0.533937156 0.153013662 0.829187214
100.998990000 -0.059882510 -0.043384098 -0.109810382 0.051192101 0.544097364 0.158852637 0.822254956
101.232320999 -0.030028921 -0.005664106 -0.117020465 0.024346691 0.570993483 0.200844824 0.795634925
101.332319999 -0.023337405 0.018996075 -0.123545676 0.015594259 0.573231339 0.215756789 0.790323853
101.465652000 -0.013697542 0.044603776 -0.123161890 -0.006950072 0.574316561 0.229747772 0.785702288
101.665649999 -0.004109651 0.081694096 -0.120653793 -0.049324747 0.563401639 0.240552723 0.788847327
101.798981999 -0.012225054 0.095539369 -0.114537701 -0.066729598 0.549089253 0.240482241 0.797631800
101.865647999 -0.019786194 0.100586727 -0.109565683 -0.074872002 0.539318681 0.239725992 0.803779244
101.932314000 -0.021986566 0.104353234 -0.101771325 -0.083157890 0.527266324 0.239360020 0.811037481
101.998980000 -0.019686081 0.104456842 -0.092516571 -0.090321593 0.512546718 0.237975910 0.820064247
102.065646000 -0.022360008 0.101166233 -0.072350919 -0.096075125 0.500118971 0.233269602 0.828393579
102.132311999 -0.025292192 0.083117060 -0.064633228 -0.099130861 0.482192487 0.228742182 0.839845538
102.165644999 -0.028477326 0.078689247 -0.059927631 -0.097667135 0.472766846 0.224569827 0.846475661
102.232310999 -0.030978542 0.064555354 -0.046616007 -0.095723681 0.453643948 0.217948467 0.858803093
102.298976999 -0.031817824 0.057728048 -0.034816455 -0.091155916 0.433779329 0.208365560 0.871842802
102.332310000 -0.031945057 0.050609007 -0.031122480 -0.090168916 0.423548847 0.203517050 0.878098369
102.365643000 -0.026770085 0.047086362 -0.032487094 -0.087487489 0.411223173 0.198120564 0.885431945
102.398976000 -0.027853861 0.045248177 -0.027913393 -0.085311539 0.400694549 0.190597266 0.892097831
102.465642000 -0.020170724 0.040817622 -0.017759606 -0.081098624 0.379479438 0.178619534 0.904164493
102.498975000 -0.017912431 0.030236861 -0.002703909 -0.081148081 0.360161036 0.165200621 0.914553344
102.565640999 -0.016935682 0.018746935 0.008900173 -0.079445206 0.342442334 0.152496606 0.923670113
102.632306999 -0.013222115 0.010714486 0.017124800 -0.076493248 0.323589861 0.137556374 0.933014810
102.698972999 -0.010061031 0.003645359 0.022662414 -0.069900565 0.305608869 0.124598294 0.941377938
102.765638999 -0.004447194 -0.004682228 0.026349526 -0.061546970 0.288580954 0.113802820 0.948673785
