#timestamp tx ty tz qx qy qz qw
1305031910.765237570 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
1305031910.865025043 -0.020039627 -0.004563974 0.013054482 0.007189984 -0.017445697 -0.020205459 0.999617815
1305031910.897222519 -0.024255764 -0.009794915 0.017852629 0.006325454 -0.027438611 -0.028808564 0.999188304
1305031910.965249300 -0.035834681 -0.019218218 0.027702678 0.013964371 -0.038543805 -0.038383834 0.998421788
1305031911.035049677 -0.058439460 -0.018349202 0.034745593 0.013750591 -0.057296336 -0.055903822 0.996695995
1305031911.065269470 -0.077099934 -0.011816410 0.043732222 0.016810976 -0.070573635 -0.066008650 0.995178223
1305031911.135664463 -0.076801740 -0.027915856 0.050216176 0.014512269 -0.108648293 -0.088635765 0.990014493
1305031911.235651493 -0.096077338 -0.031281162 0.057723843 0.023210904 -0.145225719 -0.108470097 0.983160734
1305031911.365234613 -0.111661896 -0.037277404 0.080191061 0.031599857 -0.186383098 -0.135998249 0.972505689
1305031911.565335274 -0.153137669 -0.045420349 0.096546896 0.047272831 -0.236963972 -0.141974658 0.959925294
1305031911.665124416 -0.159715503 -0.035301238 0.113022953 0.062475067 -0.272849917 -0.157302231 0.947051108
1305031911.797296524 -0.171537772 -0.024251495 0.135901242 0.064686373 -0.303174794 -0.189300984 0.931700528
1305031911.933063269 -0.196059033 -0.015950289 0.142408907 0.045668785 -0.334130824 -0.213530868 0.916883588
1305031912.096952677 -0.188098446 -0.025016580 0.179211006 0.007597722 -0.406202674 -0.234755337 0.883080721
1305031912.297249556 -0.190922529 -0.054685004 0.190131351 0.028580813 -0.428948373 -0.291928351 0.854379475
1305031912.733124971 -0.146842703 -0.059434131 0.212996453 0.032563087 -0.503893077 -0.334544212 0.795683086
1305031913.133145809 -0.122452155 -0.069922999 0.234755144 0.057035476 -0.476381451 -0.322295755 0.816047251
1305031913.265021801 -0.112375349 -0.066093788 0.238335043 0.057896551 -0.434216976 -0.264762849 0.859071732
1305031913.297160387 -0.106354542 -0.063317128 0.242434442 0.059090681 -0.422528446 -0.249221295 0.869405985
1305031913.365070105 -0.098870918 -0.064191014 0.249560863 0.059624571 -0.396939576 -0.223143995 0.888307750
1305031913.397099495 -0.093097247 -0.064630799 0.244120821 0.060916867 -0.382678390 -0.213790685 0.896738470
1305031913.433080673 -0.084464401 -0.067712277 0.249455780 0.063051984 -0.368407220 -0.202598944 0.905126631
1305031913.465230703 -0.059566028 -0.062854394 0.267499328 0.069982082 -0.355202168 -0.190030813 0.912590921
1305031913.497226715 -0.052308552 -0.061647560 0.266576111 0.070126571 -0.329501301 -0.173051640 0.925507605
1305031913.533297062 -0.052445415 -0.053018868 0.256211340 0.071763478 -0.300978690 -0.155909076 0.938058794
1305031913.597139120 -0.050022881 -0.057554334 0.240503192 0.071563937 -0.250831008 -0.130505279 0.956520140
1305031913.665421486 -0.036016110 -0.038856320 0.221073687 0.073433489 -0.203132078 -0.102015994 0.971049786
1305031913.733097315 -0.021976151 -0.028029613 0.209335759 0.064201981 -0.157531798 -0.070450962 0.982903123
1305031913.865062714 -0.003547383 -0.026894622 0.162092984 0.031816464 -0.075330369 -0.014322106 0.996547997
1305031913.965133905 0.017207073 -0.019308975 0.134331077 0.023406938 -0.029064387 0.027287813 0.998930812
1305031914.033441067 0.038404122 -0.014203393 0.117602862 0.019639891 -0.003373550 0.057696126 0.998135328
1305031914.097126007 0.062830135 0.000682255 0.100363560 0.020063153 0.020856947 0.079210542 0.996437728
1305031914.197109938 0.110045835 0.015054776 0.074700512 0.021021413 0.050427493 0.106622294 0.992797494
