#timestamp tx ty tz qx qy qz qw
1311868164.363181353 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
1311868164.831005812 0.051486474 -0.001446116 -0.041043434 0.003359365 -0.005596462 -0.014113120 0.999879122
1311868164.863058090 0.059374377 -0.000581872 -0.042360883 0.006871558 -0.004923870 -0.015411186 0.999845505
1311868164.963118792 0.083101824 0.003441923 -0.049647342 0.013228677 -0.003876640 -0.018857691 0.999727190
1311868165.231193066 0.174127847 0.006703997 -0.069959387 0.015587395 -0.030806774 -0.031874895 0.998895407
1311868165.331226110 0.209520325 0.017486783 -0.073360875 0.009854265 -0.044268690 -0.035259996 0.998348594
1311868165.599187613 0.287107438 0.031325109 -0.081224702 -0.009989258 -0.058980711 -0.032072108 0.997693837
1311868166.031203985 0.322825760 0.063133389 -0.141399503 -0.012815446 -0.025127470 -0.029994231 0.999152005
1311868166.263176918 0.317197382 0.099058621 -0.181173205 -0.034595631 -0.011071126 -0.025163077 0.999023259
1311868167.063209057 0.461833179 0.140654966 -0.248242512 -0.039712530 -0.027573923 -0.038241386 0.998098314
1311868167.599229813 0.626896858 0.127577066 -0.250915736 -0.034993425 -0.079044878 -0.063673168 0.994219840
1311868168.463332891 0.681616008 0.057182431 -0.153147444 -0.037312325 -0.094091423 -0.069240928 0.992451668
1311868169.099339247 0.695507646 -0.019001950 -0.052954558 -0.015010835 -0.134547904 -0.079039909 0.987635672
1311868169.363469601 0.725291908 -0.071510442 -0.007231189 0.003027606 -0.182152376 -0.105080716 0.977634609
1311868169.663240194 0.766549826 -0.136500075 0.043601621 0.031471752 -0.229745775 -0.138876349 0.962777138
1311868169.799367905 0.793419302 -0.156105891 0.062779270 0.036821723 -0.246084780 -0.142213851 0.958050966
1311868170.163415909 0.855836093 -0.192377329 0.076406002 0.042717166 -0.259849519 -0.121092767 0.957073689
1311868170.563344955 0.931571126 -0.168683708 0.028733872 0.035400264 -0.263898611 -0.130603045 0.955011666
1311868171.263403893 1.065900564 -0.150874376 0.001615219 0.021701910 -0.280739725 -0.138326108 0.949515760
1311868171.699418545 1.174403071 -0.147845492 0.034180909 0.017888295 -0.311107874 -0.170823887 0.934725165
1311868172.031533480 1.259519219 -0.140677795 0.084071174 0.000147489 -0.319689393 -0.188898787 0.928501964
1311868172.363479376 1.324314117 -0.129334822 0.127456859 -0.022247113 -0.322910428 -0.197524458 0.925320506
1311868172.699618816 1.365171909 -0.123869821 0.189002499 -0.052168652 -0.307416677 -0.209598511 0.926737249
1311868172.931606531 1.377185822 -0.123222977 0.255348980 -0.080368891 -0.300071985 -0.215515181 0.925770402
1311868173.431624413 1.387146115 -0.183708295 0.365705490 -0.079407789 -0.302710086 -0.225831077 0.922529876
1311868173.767623186 1.408510447 -0.217318282 0.425850034 -0.080448918 -0.320596188 -0.224367082 0.916736364
1311868173.931642294 1.427716494 -0.244942486 0.456029296 -0.068067878 -0.347267210 -0.238494933 0.904374063
1311868174.299749136 1.492316723 -0.304451883 0.524706244 -0.043735165 -0.389060140 -0.265012294 0.881185532
1311868174.667799711 1.525749683 -0.336896300 0.582735956 -0.043298792 -0.417899013 -0.265150368 0.867859960
1311868174.967693806 1.519176245 -0.382311732 0.618793964 -0.021927916 -0.427141637 -0.252489805 0.867939055
1311868175.167807341 1.492729902 -0.421356380 0.638020396 -0.001480814 -0.429793000 -0.250588298 0.867456853
1311868175.400048018 1.465868950 -0.458789647 0.667981327 0.035601541 -0.448337436 -0.222962841 0.864877820
1311868175.567800045 1.452817917 -0.477390707 0.698029816 0.049812086 -0.457806766 -0.202703968 0.864200711
